Title,Folder_Path,File_Path,Encoder
Dracula Pages from a Virgins Diary (2002),G:\0 Director\Guy Maddin,Dracula_Pages_from_a_Virgins_Diary_2002_DVDRip_30NAMA.avi,DVDRip
My Winnipeg (2007),G:\0 Director\Guy Maddin\My Winnipeg (2007) YTS 8 600,My_Winnipeg_2007_1080p_BrRip_AAC_RARBG_30NAMA.mp4,RARBG
The Forbidden Room (2015),G:\0 Director\Guy Maddin\The Forbidden Room (2015) 7.3 200,The_Forbidden_Room_2015_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
The Saddest Music in the World (2003),G:\0 Director\Guy Maddin\The Saddest Music in the World (2003) YTS 7.3 400,The.Saddest.Music.in.the.World.2003.720p.WEBRip.999MB.HQ.x265.10bit-GalaxyRG.mkv,GalaxyRG
After Life (1998),G:\0 Director\Hirokazu Koreeda\After Life (1998) Tigole 8.1,After Life (1998) (1080p Blu-ray x265 Silence).mkv,Silence
After the Storm (2016),G:\0 Director\Hirokazu Koreeda\After the Storm (2016) 6.6 Tigole,After the Storm (2016) (1080p BluRay x265 r00t).mkv,r00t
Air Doll (2009),G:\0 Director\Hirokazu Koreeda\Air Doll (2009) Tigole 6.3,Air Doll (2009) (1080p BluRay x265 Silence).mkv,Silence
Distance (2001),G:\0 Director\Hirokazu Koreeda\Distance (2001) Tigole 6.7,Distance (2001) (1080p BluRay x265 Silence).mkv,Silence
I Wish (2011),G:\0 Director\Hirokazu Koreeda\I Wish (2011) Tigole 7.2,I Wish (2011) (1080p BluRay x265 Silence).mkv,Silence
"Like Father, Like Son (2013)",G:\0 Director\Hirokazu Koreeda\Like Father Like Son (2013) Tigole 7.5,"Like Father, Like Son (2013) (1080p BluRay x265 Silence).mkv",Silence
Maborosi (1995),G:\0 Director\Hirokazu Koreeda\Maborosi (1995) Tigole 8.1,Maborosi (1995) (1080p BluRay x265 Silence).mkv,Silence
Nobody Knows (2004),G:\0 Director\Hirokazu Koreeda\Nobody Knows (2004) Tigole 8.3,Nobody Knows (2004) (1080p BluRay x265 Silence).mkv,Silence
Our Little Sister (2015),G:\0 Director\Hirokazu Koreeda\Our Little Sister (2015) Tigole 7.6,Our Little Sister 2015 (1080p x265 10bit Tigole).mkv,Tigole
Shoplifters (2018),G:\0 Director\Hirokazu Koreeda\Shoplifters (2018) Tigole 7.4,Shoplifters (2018) (1080p BluRay x265 Silence).mkv,Silence
Still Walking (2008),G:\0 Director\Hirokazu Koreeda\Still Walking (2008) Tigole 8.4,Still Walking (2008) Criterion (1080p BluRay x265 10bit Tigole).mkv,Tigole
Mr Nobody (2009),G:\0 Director\Jaco van Dormael\Mr Nobody (2009) Tigole 6.9 4000,Mr_Nobody_2009_DIRECTORS_CUT_10bit_1080p_x265_BluRay_AAC_5.1_Tigole_30NAMA.mkv,Tigole
The Brand New-Testament (2015),G:\0 Director\Jaco van Dormael\The Brand New Testament (2015)  Tigole 6.6 700,The_Brand_New-Testament_2015_10bit_1080p_x265_BluRay_5.1CH_r00t_30NAMA.mkv,r00t
The Sisters Brothers (2018),G:\0 Director\Jacques Audiard,The_Sisters_Brothers_2018_10bit_1080p_x265_BluRay_AAC_5.1_Tigole_30NAMA.mkv,Tigole
Dheepan (2015),G:\0 Director\Jacques Audiard\Dheepan (2015) SARTRE,Dheepan.2015.1080p.Criterion.BluRay.10Bit.HEVC.EAC3-SARTRE.mkv,SARTRE
A Prophet (2009),G:\0 Director\Jacques Audiard\Prophet (2009) Tigole 7.9 2800,A_Prophet_2009_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Read My Lips (2001),G:\0 Director\Jacques Audiard\Read My Lips (2001) 30nama 6.7 400,Read_My_Lips_2001_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Rust and Bone (2012),G:\0 Director\Jacques Audiard\Rust And Bone (2012) 6.6 1000,Rust and Bone (2012) (1080p BluRay x265 Silence).mkv,Silence
The Beat That My Heart Skipped (2005),G:\0 Director\Jacques Audiard\The Beat That My Heart Skipped (2005) YTS 7.3 600,The_Beat_That_My_Heart_Skipped_2005_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
3 Faces (2018),G:\0 Director\Jafar Panahi\3 Faces (2018) (1080p BluRay x265 HEVC 10bit AAC 5.1 Persian afm72) [QxR],3 Faces (2018) (1080p BluRay x265 afm72).mkv,afm72
Closed Curtain (2013),G:\0 Director\Jafar Panahi\Closed Curtain (2013) 7,Closed_Curtain_2013_720p_WEB-DL_NoGRP_30NAMA.mkv,
Crimson Gold (2003),G:\0 Director\Jafar Panahi\Crimson Gold (2003) (1080p AMZN WEB-DL x265 HEVC 10bit EAC3 2.0 Persian afm72) [QxR],Crimson Gold (2003) (1080p AMZN WEB-DL x265 afm72).mkv,afm72
Offside (2006),G:\0 Director\Jafar Panahi\Offside (2006) 6.9,Offside (2006) (1080p AMZN WEB-DL x265 afm72).mkv,afm72
Taxi Tehran (2015),G:\0 Director\Jafar Panahi\Taxi Tehran (2015) 6.5,Taxi.Tehran.2015.1080p.BluRay.x264-[YTS.LT].mp4,YTS
The Circle (2000),G:\0 Director\Jafar Panahi\The Circle (2000) 7.4,The.Circle.2000.720p.DVDRip.x264.EAC3-SARTRE.mkv,SARTRE
The Mirror (1997),G:\0 Director\Jafar Panahi\The Mirror (1997) 7.6,The_Mirror_1997_DVDRip_30NAMA.mkv,DVDRip
The White Balloon (1995),G:\0 Director\Jafar Panahi\The White Balloon (1995) 7.3,The_White_Balloon_1995_DVDRip_30NAMA.mkv,DVDRip
The Year of the Everlasting Storm (2021),G:\0 Director\Jafar Panahi\The Year of the Everlasting Storm (2021),The.Year.of.the.Everlasting.Storm.2021.1080p.WEBRip.x265-RARBG.mp4,RARBG
Bright Star (2009),G:\0 Director\Jane Campion\Bright Star (2009) Tigole 6 700,Bright_Star_2009_10bit_1080p_x265_BluRay_AAC_5.1_Tigole_30NAMA.mkv,Tigole
The Power of the Dog (2021),G:\0 Director\Jane Campion\The Power of the Dog (2021) Silence 6.9 700,The Power of the Dog (2021) (1080p NF WEB-DL x265 Silence).mkv,Silence
Café De Flore (2011),G:\0 Director\Jean-Marc Vallee\Café De Flore (2011) 6.8 300,Café.De.Flore.2011.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,YTS
Dallas Buyers Club (2013),G:\0 Director\Jean-Marc Vallee\Dallas Buyers Club (2013) Tigole 6.7 4700,Dallas_Buyers_Club_2013_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
