Title,Folder_Path,File_Path,Encoder
The Intouchables (2011),G:\2010 - 2015\7 - 7.5\2 Intouchables (2011) Tigole 7.3 5300,The Intouchables 2011 (1080p x265 10bit Tigole).mkv,Tigole
Whores Glory (2011),G:\2010 - 2015\7 - 7.5\20 Whores Glory (2011) YTS 7 100,Whores.Glory.2011.720p-[MediaSity].mkv,
[K-Zone] My Love Dont Cross That River (2014),"G:\2010 - 2015\7 - 7.5\21 My Love, Don't Cross That River (2014) 7.4 0",[K-Zone].My.Love.Dont.Cross.That.River.2014.HD.KITESVN.COM.mkv,
Wild Tales (2014),G:\2010 - 2015\7 - 7.5\3 Wild Tales (2014) Tigole 7.4 2300,Wild_Tales_2014_10bit_1080p_x265_BluRay_5.1CH_Tigole_30NAMA.mkv,Tigole
Short Term 12 (2013),G:\2010 - 2015\7 - 7.5\4 Short Term 12  (2013) Tigole 7.2 1800,Short Term 12 (2013) (1080p BluRay x265 Silence).mkv,Silence
Upstream Color (2013),G:\2010 - 2015\7 - 7.5\5 Upstream Color (2013) Tigole 7.1 1500,Upstream.Color.2013.1080p.BluRay.x265.HEVC.EAC3-SARTRE.mkv,SARTRE
Ida (2013),G:\2010 - 2015\7 - 7.5\6 Ida (2013) Silence 7.1 1400,Ida (2013) (1080p BluRay x265 Silence).mkv,Silence
Confessions (2010),G:\2010 - 2015\7 - 7.5\7 Confessions (2010) Silence 7.3 800,Confessions_2010_10bit_1080p_x265_BluRay_Silence_30NAMA.mkv,Silence
Wolf Children (2012),G:\2010 - 2015\7 - 7.5\8 Wolf Children (2012) Tigole 7.2 700,Wolf Children (2012) [1080p x265 HEVC 10bit BluRay Dual Audio AAC 5.1] [Prof].mkv,Prof
Sen Aydinlatirsin Geceyi (2013),G:\2010 - 2015\7 - 7.5\9 Sen Aydinlatirsin (2013) dvd 7.1 600,Sen Aydinlatirsin Geceyi.2013.DVDRip.x264 92 +.mkv,DVDRip
Whiplash (2014),G:\2010 - 2015\7.5 - 8\1 Whiplash (2014) 4K Tigole 7.7 7300,Whiplash_2014_10bit_HDR_2160p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Le Quattro Volte (2010),G:\2010 - 2015\7.5 - 8\10 Le quattro volte (2010) dvd 7.9 300,Le_Quattro_Volte_2010_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Stations of the Cross (2014),G:\2010 - 2015\7.5 - 8\11 Stations of The Cross (2014) YTS 7.7 200,Stations_of_the_Cross_2014_1080p_BrRip_Ganool_30NAMA.mkv,Ganool
Boy And The World (2013),G:\2010 - 2015\7.5 - 8\12 Boy And The World (2013) YTS 7.6 200,Boy.And.The.World.2013.1080p.BluRay.x264-[YTS.LT].mp4,YTS
Norte hangganan ng kasaysayan (2013),G:\2010 - 2015\7.5 - 8\13 Norte the End of History (2013) YTS 7.9 100,Norte_hangganan_ng_kasaysayan_2013_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Gueros (2014),G:\2010 - 2015\7.5 - 8\14 Gueros (2014) YTS 7.7 100,Gueros_2014_1080p_BrRip_VXT_30NAMA.mp4,VXT
Roza (2011),G:\2010 - 2015\7.5 - 8\15 Rose (2011) YTS 7.6 100,Roza_2011_1080p_BrRip_30nama_30NAMA.mkv,30nama
Nightcrawler (2014),G:\2010 - 2015\7.5 - 8\2 Nightcrawler (2014) Tigole 7.6 6600,Nightcrawler (2014) (1080p BluRay x265 afm72).mkv,afm72
Shame (2011),G:\2010 - 2015\7.5 - 8\3 Shame (2011) Tigole 7.6 3500,Shame (2011) (1080p BluRay x265 afm72).mkv,afm72
Take Shelter (2011),G:\2010 - 2015\7.5 - 8\4 Take Shelter (2011) Tigole 7.2 2600,Take Shelter (2011) (1080p BluRay x265 Silence).mkv,Silence
The Illusionist (2010),G:\2010 - 2015\7.5 - 8\5 The Illusionist (2010) Tigole 7.6 1400,The Illusionist (2010) (1080p BluRay x265 afm72).mkv,afm72
Tangerines (2013),G:\2010 - 2015\7.5 - 8\6 Tangerines (2013) Tigole 7.6 800,Tangerines_2013_10bit_1080p_x265_BluRay_r00t_30NAMA.mkv,r00t
Weekend (2011),G:\2010 - 2015\7.5 - 8\7 Weekend (2011) Tigole 7.9 700,Weekend (2011) Criterion (1080p BluRay x265 Silence).mkv,Silence
Tabu (2012),G:\2010 - 2015\7.5 - 8\8 Tabu (2012) YTS 7.5 400,Tabu_2012_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
The Dance of Reality (2013),G:\2010 - 2015\7.5 - 8\9 The Dance of Reality (2013) YTS 7.5 300,The.Dance.of.Reality.2013.SPANISH.1080p.BluRay.H264.AAC-VXT.mp4,VXT
The Tale of Princess Kaguya (2013),G:\2010 - 2015\8 - 9\1 The Tale of The Princess Kaguya (2013) Prof 8.5 1000,The Tale of Princess Kaguya (2013) [1080p x265 HEVC 10bit BluRay Dual Audio AAC 5.1] [Prof].mkv,Prof
Samsara (2011),G:\2010 - 2015\8 - 9\2 Samsara (2011) 4K 8.2 1000,Samsara.2011.2160p.WEB-DL.DTS-HD.MA.7.1.HDR.HEVC-TEPES.mkv,TEPES
It s Such a Beautiful Day (2012),G:\2010 - 2015\8 - 9\3 Its Such a Beautiful Day (2012) 8.4 300,It_s_Such_a_Beautiful_Day_2012_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
The Last Lions (2011),G:\2010 - 2015\8 - 9\4 The Last Lions (2011) BRMP 8.4 100,The_Last_Lions_2011_1080p_BluRay_BRMP_30NAMA.mkv,
Home from Home Chronicle of a Vision (2013),G:\2010 - 2015\8 - 9\5 Home from Home Chronicle of a Vision (2013) 9  0,Home.from.Home.Chronicle.of.a.Vision.2013.Part1.BDRip-[MediaSity].mkv,
Bleak Night (2010),G:\2010 - 2015\8 - 9\6 Bleak Night  (2010) YTS 8  0,Bleak.Night.2010.KOREAN.1080p.BluRay.H264.AAC-VXT.mp4,VXT
Gainsbourg - A Heroic Life (2010),G:\2010 - 2015\Gainsbourg - A Heroic Life (2010) (1080p BluRay x265 HEVC 10bit AAC 5.1 French Tigole),Gainsbourg - A Heroic Life (2010) (1080p BluRay x265 10bit Tigole).mkv,Tigole
mood indigo (2013),G:\2010 - 2015\mood.indigo.2013.720p.bluray.x264-fapcave,mood.indigo.2013.720p.bluray.x264-fapcave.mkv,
Bad Luck Banging or Loony Porn (2021),G:\2015 - 2020,Bad Luck Banging or Loony Porn 2021 1080p WEB-DL AAC2.0 H.264-858.mkv,
Dark Waters (2019),G:\2015 - 2020,Dark_Waters_2019_10bit_1080p_x265_BluRay_AAC_5.1_Tigole_30NAMA.mkv,Tigole
i do not care if we go down in history as barbarians (2018),G:\2015 - 2020,i.do.not.care.if.we.go.down.in.history.as.barbarians.2018.dvdrip.x264-bipolar.mkv,bipolar
On the Beach at Night Alone (2017),G:\2015 - 2020,On_the_Beach_at_Night_Alone_2017_1080p_BrRip_AAC_VXT_30NAMA.mp4,VXT
The Witch (2015),G:\2015 - 2020,The Witch (2015) (2160p BluRay x265 10bit HDR Tigole).mkv,Tigole
The Second Mother (2015),G:\2015 - 2020,The.Second.Mother.2015.BluRay.720p.DTS.x264-EPiC.mkv,
The Green Fog (2017),G:\2015 - 2020,The_Green_Fog_2017_720p_WEBRip_30NAMA.mkv,
Baby Driver (2017),G:\2015 - 2020\6 - 6.5\1 Baby Driver (2017) Tigole 6.1 4600,Baby Driver (2017) (1080p BluRay x265 10bit Tigole).mkv,Tigole
The Death of Stalin (2017),G:\2015 - 2020\6 - 6.5\10 The Death of Stalin (2017) YTS 6 1500,The_Death_of_Stalin_2017_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Brooklyn (2015),G:\2015 - 2020\6 - 6.5\11 Brooklyn (2015) Tigole 6.2 1500,Brooklyn_2015_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Little Women (2019),G:\2015 - 2020\6 - 6.5\12 Little Women (2019) Tigole 6.2 1400,Little Women (2019) (1080p BluRay x265 10bit Tigole).mkv,Tigole
The Invisible Guest (2016),G:\2015 - 2020\6 - 6.5\13 The Invisible Guest (2016) Tigole 6.2 1200,The Invisible Guest (2016) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Leave No Trace (2018),G:\2015 - 2020\6 - 6.5\14 Leave No Trace (2018) Tigole 6.4 900,Leave No Trace (2018) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Butterflies aka Kelebekler (2018),G:\2015 - 2020\6 - 6.5\15 Butterflies aka Kelebekler (2018) YTS 6 800,Butterflies_aka_Kelebekler_2018_1080p_WEB-DL_30nama_30NAMA.mkv,30nama
Macbeth (2015),G:\2015 - 2020\6 - 6.5\16 Macbeth (2015) TAoE 6.2 700,Macbeth (2015) (1080p BDRip x265 10bit DTS-HD MA 5.1 - WEM)[TAoE].mkv,TAoE
Under the Shadow (2016),G:\2015 - 2020\6 - 6.5\17 Under the Shadow (2016) HeVK 6.3 600,Under.the.Shadow.2016.1080p.BluRay.x265.hevc.10bit.AAC.5.1.commentary-HeVK.mkv,HeVK
Detroit (2017),G:\2015 - 2020\6 - 6.5\18 Detroit (2017) FGT 6.4 500,Detroit.2017.1080p.WEB-DL.DD5.1.H264-FGT.mkv,FGT
A Bigger Splash (2015),G:\2015 - 2020\6 - 6.5\19 A Bigger Splash (2015) nikt0 6 500,A.Bigger.Splash.2015.1080p.BluRay.x264-nikt0.mkv,nikt0
Knives Out (2019),G:\2015 - 2020\6 - 6.5\2 Knives Out (2019) Tigole 6.3 3700,Knives Out (2019) (2160p BluRay x265 10bit HDR Tigole).mkv,Tigole
The Kindergarten Teacher (2018),G:\2015 - 2020\6 - 6.5\20 The Kindergarten Teacher (2018) Amiable 6.2 400,The.Kindergarten.Teacher.2018.1080p.BluRay.X264-AMIABLE.mkv,AMIABLE
The Souvenir (2019),G:\2015 - 2020\6 - 6.5\21 The Souvenir (2019) YTS 6 400,The_Souvenir_2019_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
The Breadwinner (2017),G:\2015 - 2020\6 - 6.5\22 The Breadwinner (2017) Tigole 6.4 300,The Breadwinner (2017) (1080p BluRay x265 Natty).mkv,Natty
The Insult (2017),G:\2015 - 2020\6 - 6.5\24 The Insult (2017) D0G 6 200,The.Insult.2017.1080p.BluRay.x264-D0G.mkv,
Ana mon amour (2017),"G:\2015 - 2020\6 - 6.5\25 Ana, mon amour (2017) YTS 6.3 100",Ana_mon_amour_2017_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
Harmonium (2016),G:\2015 - 2020\6 - 6.5\26 Harmonium (2016) 6.2 100,Harmonium_2016_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
A Sun (2019),G:\2015 - 2020\6 - 6.5\27 A Sun (2019) YTS 6.2 100,A_Sun_2019_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
La Llorona (2019),G:\2015 - 2020\6 - 6.5\28 La llorona (2019) YTS 6.1 100,La.Llorona.2019.1080p.WEB-DL.AAC2.0.H.264-MooMa.mkv,
Nuestro tiempo (2018),G:\2015 - 2020\6 - 6.5\29 Nuestro tiempo (2018) EA 6.3 100,Nuestro_tiempo_2018_720p_BluRay_EA_30NAMA.mkv,
Annihilation (2018),G:\2015 - 2020\6 - 6.5\3 Annihilation (2016) 4k 6.1 3400,Annihilation (2018) (2160p BluRay x265 10bit HDR Tigole).mkv,Tigole
The Ornithologist (2016),G:\2015 - 2020\6 - 6.5\30 The Ornithologist (2016) NTG 6.2 100,The.Ornithologist.2016.1080p.NF.WEB-DL.DD5.1.x264-NTG.mkv,NTG
The Nile Hilton Incident (2017),G:\2015 - 2020\6 - 6.5\31 The Nile Hilton Incident (2017) SARTRE 6 100,The.Nile.Hilton.Incident.2017.1080p.BluRay.HEVC.EAC3-SARTRE.mkv,SARTRE
Just 6 5 AKA Metri Shesh Va Nim (2019),G:\2015 - 2020\6 - 6.5\32 Metri Shesh Va Nim (2019) Tigole 6 100,Just 6.5 AKA Metri Shesh Va Nim (2019) (1080p BluRay x265 afm72).mkv,afm72
Dance with Me (2019),G:\2015 - 2020\6 - 6.5\33 Dance with Me (2019) Per YTS 6 0,Dance with Me (2019) .mp4,
Invasion (2017),G:\2015 - 2020\6 - 6.5\34 Invasion (2017) Per Uptv 6 0,Invasion (2017).mp4,
Woman (2019),G:\2015 - 2020\6 - 6.5\35 Woman (2019) YTS 6 0,Woman_2019_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
Nocturnal Animals (2016),G:\2015 - 2020\6 - 6.5\4 Nocturnal Animals (2016) Tigole 6.4 2800,Nocturnal_Animals_2016_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
Green Book (2018),G:\2015 - 2020\6 - 6.5\5 Green Book (2018) Tigole 6 2500,Green Book (2018) (1080p BluRay x265 10bit Tigole).mkv,Tigole
The Big Sick (2017),G:\2015 - 2020\6 - 6.5\6 The Big Sick (2017) 30nama 6 1800,The_Big_Sick_2017_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Kubo and the Two Strings (2016),G:\2015 - 2020\6 - 6.5\7 Kubo and the Two Strings (2016) Silence 6.4 1700,Kubo and the Two Strings (2016) (1080p BluRay x265 Silence).mkv,Silence
Swiss Army Man (2016),G:\2015 - 2020\6 - 6.5\8 Swiss Army Man (2016) nikt0 6.1 1700,Swiss.Army.Man.2016.1080p.BluRay.x264-nikt0.mkv,nikt0
Lion (2016),G:\2015 - 2020\6 - 6.5\9 Lion (2016) Tigole 6 1600,Lion_2016_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
La La Land (2016),G:\2015 - 2020\6.5 - 7\1 La La Land (2016) (2160p Tigole) 6.8 5000,La La Land (2016) (2160p BluRay x265 10bit HDR Tigole).mkv,Tigole
A Ghost Story (2017),G:\2015 - 2020\6.5 - 7\10 A Ghost Story (2017) 6.7 1300,A.Ghost.Story.2017.1080p.BRRip.x265.AC3-Freebee[N1C].mkv,Ghost
Victoria (2015),G:\2015 - 2020\6.5 - 7\11 Victoria (2015) Tigole 6.9 1300,Victoria (2015) (1080p BluRay x265 r00t).mkv,r00t
Cold War (2018),G:\2015 - 2020\6.5 - 7\12 Cold War (2018) Tigole 6.6 1100,Cold War (2018) (1080p BluRay x265 10bit Tigole).mkv,Tigole
The Wailing (2016),G:\2015 - 2020\6.5 - 7\13 The Wailing (2016) Tigole 6.6 1100,The.Wailing.2016.1080p.BluRay.x264.EAC3-SARTRE.mkv,SARTRE
Beasts of No Nation (2015),G:\2015 - 2020\6.5 - 7\14 Beasts of No Nation (2015) Tigole 6.9 1000,Beasts_of_No_Nation_2015_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
The Guilty (2018),G:\2015 - 2020\6.5 - 7\15 The Guilty (2018) Tigole 6.9 800,The Guilty (2018) (1080p BluRay x265 10bit Tigole).mkv,Tigole
I Lost My Body (2019),G:\2015 - 2020\6.5 - 7\16 I Lost My Body (2019) YTS 6.7 500,I_Lost_My_Body_2019_1080p_WEB-DL_AC3_CMRG_30NAMA.mkv,CMRG
Columbus (2017),G:\2015 - 2020\6.5 - 7\18 Columbus (2017) Tigole 6.9 500,Columbus_2017_10bit_1080p_x265_BluRay_5.1CH_Tigole_30NAMA.mkv,Tigole
La belle epoque (2019),G:\2015 - 2020\6.5 - 7\19 La belle epoque (2019) YTS 6.9 300,La_belle_epoque_2019_1080p_BrRip_30nama_30NAMA.mkv,30nama
Joker (2019),G:\2015 - 2020\6.5 - 7\2 Joker (2019) 4K 6.9 4900,Joker_2019_10bit_HDR_2160p_x265_BluRay_UHD_AAC_5.1_YIFY_30NAMA.mkv,YIFY
Frantz (2016),G:\2015 - 2020\6.5 - 7\20 Frantz (2016) YTS 6.6 300,Frantz_2016_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
120 BPM Beats Per Minute (2017),G:\2015 - 2020\6.5 - 7\21 BPM (Beats Per Minute) (2017) YTS 6.5 300,120_BPM_Beats_Per_Minute_2017_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Beanpole (2019),G:\2015 - 2020\6.5 - 7\23 Beanpole (2019) YTS 6.9 200,Beanpole_2019_1080p_BrRip_30nama_30NAMA.mkv,30nama
Support the Girls (2018),G:\2015 - 2020\6.5 - 7\24 Support the Girls (2018) Silence 6.5 200,Support the Girls (2018) (1080p BluRay x265 Silence).mkv,Silence
Ruben Brandt Collector (2018),"G:\2015 - 2020\6.5 - 7\25 Ruben Brandt, Collector (2018) nikt0 6.9 100",Ruben.Brandt.Collector.2018.1080p.BluRay.x264-nikt0.mkv,nikt0
Long Way North (2015),G:\2015 - 2020\6.5 - 7\26 Long Way North (2015) FR r00t 6.9 100,Long Way North (2015) (1080p BluRay x265 r00t).mkv,r00t
I Am Not a Witch (2017),G:\2015 - 2020\6.5 - 7\27 I Am Not a Witch (2017) YTS 6.8 100,I_Am_Not_a_Witch_2017_1080p_BrRip_RARBG_30NAMA.mkv,RARBG
The Girl Without Hands (2016),G:\2015 - 2020\6.5 - 7\28 The Girl Without Hands (2016) FR r00t 6.8 0,The Girl Without Hands (2016) (1080p BluRay x265 r00t).mkv,r00t
Clergy (2018),G:\2015 - 2020\6.5 - 7\29 Clergy (2018) YTS 6.6 0,Clergy_2018_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Spotlight (2015),G:\2015 - 2020\6.5 - 7\3 Spotlight (2015)  Silence 6.7 4400,Spotlight (2015) (1080p BluRay x265 Silence).mkv,Silence
Three Billboards Outside Ebbing Missouri (2017),"G:\2015 - 2020\6.5 - 7\4 Three Billboards Outside Ebbing, Missouri (2017) nikt0 6.9 4200",Three.Billboards.Outside.Ebbing.Missouri.2017.1080p.BluRay.x264-nikt0.mkv,nikt0
Lady Bird (2017),G:\2015 - 2020\6.5 - 7\5 Lady Bird (2017) Tigole 6.5 3200,Lady Bird (2017) (1080p x265 10bit Tigole).mkv,Tigole
Coco (2017),G:\2015 - 2020\6.5 - 7\7 Coco (2017) 4K Tigole 6.5 3100,Coco (2017) (2160p BluRay x265 10bit HDR Tigole).mkv,Tigole
Captain Fantastic (2016),G:\2015 - 2020\6.5 - 7\8 Captain Fantastic (2016) Tigole 6.7 2300,Captain Fantastic (2016) (1080p BluRay x265 afm72).mkv,afm72
Me and Earl and the Dying Girl (2015),G:\2015 - 2020\6.5 - 7\9 Me and Earl and the Dying Girl (2015) Tigole 6.6 1600,Me and Earl and the Dying Girl (2015) (1080p BluRay x265 Silence).mkv,Silence
The Big Short (2015),G:\2015 - 2020\7 - 7.5\1 The Big Short (2015) Tigole 7.1 4600,The Big Short (2015) (1080p BluRay x265 Natty).mkv,Natty
20th Century Women (2016),G:\2015 - 2020\7 - 7.5\10 20th Century Women (2016) YTS 7 800,20th.Century.Women.2016.1080p.BluRay.x264-[YTS.AG].mp4,YTS
The Red Turtle (2016),G:\2015 - 2020\7 - 7.5\11 The Red Turtle (2016) MNHD 7 700,The.Red.Turtle.2016.BluRay.1080p.x265.10bit.MNHD-FRDS.mkv,
On Body and Soul (2017),G:\2015 - 2020\7 - 7.5\12 On Body and Soul (2017) 30nama 7.3 600,On_Body_and_Soul_2017_10bit_1080p_x265_BrRip_6CH_30nama_30NAMA.mkv,30nama
Land of Mine (2015),G:\2015 - 2020\7 - 7.5\13 Land of Mine (2015) 30nama 7.2 500,Land_of_Mine_2015_1080p_BrRip_DTS_JYK_30NAMA_2 90.mkv,JYK
Something Useful [Ise Yarar Bir Sey] (2017),G:\2015 - 2020\7 - 7.5\14 İşe Yarar Bir Şey (2017) YTS 7.1 400,Something.Useful.[Ise.Yarar.Bir.Sey].2017.1080p.WEB-DL.x264.AAC.HORiZON-ArtSubs.mkv,HORiZON
And Then We Danced (2019),G:\2015 - 2020\7 - 7.5\15 And Then We Danced (2019) 7.3 300,And_Then_We_Danced_2019_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
System Crasher (2019),G:\2015 - 2020\7 - 7.5\16 System Crasher (2019) GE r00t 7.2 200,System Crasher (2019) (1080p BluRay x265 r00t).mkv,r00t
"So Long, My Son (2019)","G:\2015 - 2020\7 - 7.5\17 So Long, My Son (2019) Tigole 7.4 100","So Long, My Son (2019) (1080p BluRay x265 10bit Tigole).mkv",Tigole
The Woman Who Left (2016),G:\2015 - 2020\7 - 7.5\18 The Woman Who Left (2016) YTS 7.3 100,The_Woman_Who_Left_2016_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Scarred Hearts (2016),G:\2015 - 2020\7 - 7.5\19 Scarred Hearts (2016) 7.33 100,Scarred_Hearts_2016_720p_HDTV_30NAMA.mkv,
Moonlight (2016),G:\2015 - 2020\7 - 7.5\2 Moonlight (2016)  afm72 7 3300,Moonlight (2016) (1080p BluRay x265 afm72).mkv,afm72
The Halt (2019),G:\2015 - 2020\7 - 7.5\20 Ang Hupa (2019) YTS 7 0,The_Halt_2019_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
The Lighthouse (2019),G:\2015 - 2020\7 - 7.5\3 The Lighthouse (2019) Tigole 7.3 2400,The_Lighthouse_2019_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Your Name  (2016),G:\2015 - 2020\7 - 7.5\4 Your Name (2016) Tigole 7.3 1900,Your Name. (2016) (1080p BluRay x265 RZeroX).mkv,RZeroX
Anomalisa (2015),G:\2015 - 2020\7 - 7.5\5 Anomalisa (2015)  Tigole 7.3 1800,Anomalisa (2015) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Raw (2016),G:\2015 - 2020\7 - 7.5\6 Raw (2016) Tigole 7.1 1300,Raw (2016) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Suspiria (2018),G:\2015 - 2020\7 - 7.5\7 Suspiria (2018) Tigole 7 1200,Suspiria_2018_10bit_1080p_x265_BluRay_Tigole_30NAMA.mkv,Tigole
Capernaum (2018),G:\2015 - 2020\7 - 7.5\8 Capharnaum (2018) Tigole 7.3 800,Capernaum (2018) (1080p BluRay x265 Silence).mkv,Silence
45 Years (2015),G:\2015 - 2020\7 - 7.5\9 45 Years (2015) Tigole 7 800,45 Years (2015) (1080p BluRay x265 Silence).mkv,Silence
Mad Max Fury Road (2015),G:\2015 - 2020\7.5 - 8\1 Mad Max Fury Road (2015) 4K 7.5 8900,Mad_Max_Fury_Road_2015_10bit_2160p_x265_BrRip_5.1CH_YIFY_30NAMA.mkv,YIFY
Cameraperson (2016),G:\2015 - 2020\7.5 - 8\10 Cameraperson (2016) Tigole 7.6 200,Cameraperson (2016) Criterion (1080p BluRay x265 Silence).mkv,Silence
Kaili Blues (2015),G:\2015 - 2020\7.5 - 8\11 Kaili Blues (2015) YTS 7.5 200,Kaili_Blues_2015_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
Human (2015),G:\2015 - 2020\7.5 - 8\12 Human (2015) USURY 7.9 100,Human.2015.1080p-[MediaSity].mp4,
human (2015),G:\2015 - 2020\7.5 - 8\12 Human (2015) USURY 7.9 100,human.2015.1080p.bluray.x264-usury.mkv,usury
Ex Machina (2014),G:\2015 - 2020\7.5 - 8\2 Ex Machina (2015) Tigole 7.5 7300,Ex_Machina_2014_10bit_1080p_x265_BluRay_afm72_30NAMA.mkv,afm72
Son of Saul (2015),G:\2015 - 2020\7.5 - 8\3 Son of Saul (2015) HU Silence 7.7 1000,Son of Saul (2015) (1080p BluRay x265 Silence).mkv,Silence
One Cut of the Dead (2017),G:\2015 - 2020\7.5 - 8\4 One Cut of the Dead (2017) JP Bandi 7.5 500,One Cut of the Dead (2017) (1080p BluRay x265 Bandi).mkv,Bandi
Happy as Lazzaro (2018),G:\2015 - 2020\7.5 - 8\5 Happy as Lazzaro (2018) 30nama 7.5 400,Happy_as_Lazzaro_2018_10bit_1080p_x265_BrRip_30nama_30NAMA.mkv,30nama
Long Day's Journey Into Night (2018),G:\2015 - 2020\7.5 - 8\6 Long Days Journey Into Night (2018) Tigole 7.6 300,Long Day's Journey Into Night (2018) (1080p BluRay x265 10bit Tigole).mkv,Tigole
Birds of Passage (2018),G:\2015 - 2020\7.5 - 8\7 Birds of Passage (2018) 7.8 200,Birds_of_Passage_2018_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
The Painted Bird (2019),G:\2015 - 2020\7.5 - 8\8 The Painted Bird (2019) YTS 7.8 200,The_Painted_Bird_2019_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
endless poetry (2016),G:\2015 - 2020\7.5 - 8\9 Endless Poetry (2016) Ghouls 7.7 200,endless.poetry.2016.subbed.1080p.bluray.x264-ghouls.mkv,
Manchester by the Sea (2016),G:\2015 - 2020\8 - 9\1 Manchester by the Sea (2016) Tigole 8.1 3400,Manchester by the Sea (2016) (1080p BluRay x265 Silence).mkv,Silence
Ivy (2015),G:\2015 - 2020\8 - 9\2 Ivy (2015) YTS 8.2 800,Ivy_2015_1080p_WEBRip_6CH_TrollHD_30NAMA.mkv,TrollHD
An Elephant Sitting Still (2018),G:\2015 - 2020\8 - 9\3 An Elephant Sitting Still (2018) Tigole 8.3 200,An Elephant Sitting Still (2018) (1080p BluRay x265 Silence).mkv,Silence
Western (2017),G:\2015 - 2020\8 - 9\4 Western (2017) YTS 8 200,Western_2017_1080p_BrRip_YIFY_30NAMA.mp4,YIFY
November (2017),G:\2015 - 2020\8 - 9\5 November (2017) YTS 8 200,November_2017_1080p_WEB-DL_YIFY_30NAMA.mp4,YIFY
Happy Hour (2015),G:\2015 - 2020\8 - 9\6 Happy Hour (2015) VXT 8.5 100,Happy Hour 2015 JAPANESE 720p BluRay H264 AAC-VXT.mkv,VXT
Dominion (2018),G:\2015 - 2020\8 - 9\7 Dominion (2018) YTS 8.6 0,Dominion_2018_1080p_WEB-DL_30nama_30NAMA.mkv,30nama
colliding dreams (2015),G:\2015 - 2020\8 - 9\8 Colliding Dreams (2015) dvd 8 0,colliding.dreams.2015.limited.dvdrip.x264.mkv,dvdrip
Cemetery of Splendor (2015),G:\2015 - 2020\cemetery.of.splendor.2015.limited.1080p.bluray.x264-depth,Cemetery.of.Splendor.2015.LIMITED.1080p.BluRay.x264-DEPTH.mkv,
Paterson (2016),G:\2015 - 2020\Paterson (2016) Silence,Paterson (2016) (1080p BluRay x265 Silence).mkv,Silence
